Request type,Timestamp,Game id,Player id,Player GUID,Colour,Role
Xsd2.Discover,2017-06-02T11:50:11,0,9,7d68e264-8bdb-482f-9f38-fb13027f4a36,red,member
Xsd2.Discover,2017-06-02T11:50:11,0,10,e196386a-c21a-4344-a9c8-09ea824d663a,red,member
Xsd2.PickUpPiece,2017-06-02T11:50:11,0,11,463d7267-dee8-468e-865f-81e9cdb667ec,red,member
Xsd2.TestPiece,2017-06-02T11:50:12,0,12,af509bba-c5ba-4fbc-b501-817f628a3f52,red,member
Xsd2.Move,2017-06-02T11:50:12,0,2,20b71f94-2bbf-4d86-91d5-c2347dc49c33,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,1,d14a66b5-78a0-4077-9025-2e3e13265c21,blue,member
Xsd2.PickUpPiece,2017-06-02T11:50:12,0,13,6207b0db-12fe-4d55-8254-41b1f6839c13,red,member
Xsd2.Discover,2017-06-02T11:50:12,0,14,52600d88-4433-419a-8071-e1f66e558b90,red,member
Xsd2.Move,2017-06-02T11:50:12,0,3,d932b0ff-86a5-46aa-890a-23f2283dfc12,blue,member
Xsd2.Discover,2017-06-02T11:50:12,0,15,a25f241e-6b66-4fef-9d58-df199664d01e,red,member
Xsd2.Discover,2017-06-02T11:50:12,0,16,9960ffee-5cb1-47ac-938c-cf47ec4ea213,red,member
Xsd2.Move,2017-06-02T11:50:12,0,4,fee49705-761d-452d-9cc6-e5a4e5e7400b,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,5,8344fc9c-4196-4ee6-8c05-c73d242e8af8,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,7,3f0504a7-59d6-4b53-b6c7-afa6eb769d69,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,6,4f9420a3-66ba-4e4f-a4c6-096ecee64d86,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,8,2320fecd-46a9-4a06-9b9a-202ff8dc486a,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,2,20b71f94-2bbf-4d86-91d5-c2347dc49c33,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,1,d14a66b5-78a0-4077-9025-2e3e13265c21,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,3,d932b0ff-86a5-46aa-890a-23f2283dfc12,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,4,fee49705-761d-452d-9cc6-e5a4e5e7400b,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,5,8344fc9c-4196-4ee6-8c05-c73d242e8af8,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,7,3f0504a7-59d6-4b53-b6c7-afa6eb769d69,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,8,2320fecd-46a9-4a06-9b9a-202ff8dc486a,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,6,4f9420a3-66ba-4e4f-a4c6-096ecee64d86,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,2,20b71f94-2bbf-4d86-91d5-c2347dc49c33,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,3,d932b0ff-86a5-46aa-890a-23f2283dfc12,blue,member
Xsd2.Move,2017-06-02T11:50:12,0,1,d14a66b5-78a0-4077-9025-2e3e13265c21,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,4,fee49705-761d-452d-9cc6-e5a4e5e7400b,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,5,8344fc9c-4196-4ee6-8c05-c73d242e8af8,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,8,2320fecd-46a9-4a06-9b9a-202ff8dc486a,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,7,3f0504a7-59d6-4b53-b6c7-afa6eb769d69,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,6,4f9420a3-66ba-4e4f-a4c6-096ecee64d86,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,3,d932b0ff-86a5-46aa-890a-23f2283dfc12,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,2,20b71f94-2bbf-4d86-91d5-c2347dc49c33,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,4,fee49705-761d-452d-9cc6-e5a4e5e7400b,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,1,d14a66b5-78a0-4077-9025-2e3e13265c21,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,5,8344fc9c-4196-4ee6-8c05-c73d242e8af8,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,8,2320fecd-46a9-4a06-9b9a-202ff8dc486a,blue,member
Xsd2.Discover,2017-06-02T11:50:13,0,3,d932b0ff-86a5-46aa-890a-23f2283dfc12,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,6,4f9420a3-66ba-4e4f-a4c6-096ecee64d86,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,7,3f0504a7-59d6-4b53-b6c7-afa6eb769d69,blue,member
Xsd2.Discover,2017-06-02T11:50:13,0,2,20b71f94-2bbf-4d86-91d5-c2347dc49c33,blue,member
Xsd2.Discover,2017-06-02T11:50:13,0,4,fee49705-761d-452d-9cc6-e5a4e5e7400b,blue,member
Xsd2.Discover,2017-06-02T11:50:13,0,5,8344fc9c-4196-4ee6-8c05-c73d242e8af8,blue,member
Xsd2.Discover,2017-06-02T11:50:13,0,1,d14a66b5-78a0-4077-9025-2e3e13265c21,blue,member
Xsd2.Discover,2017-06-02T11:50:13,0,8,2320fecd-46a9-4a06-9b9a-202ff8dc486a,blue,member
Xsd2.Discover,2017-06-02T11:50:13,0,6,4f9420a3-66ba-4e4f-a4c6-096ecee64d86,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,3,d932b0ff-86a5-46aa-890a-23f2283dfc12,blue,member
Xsd2.Discover,2017-06-02T11:50:13,0,7,3f0504a7-59d6-4b53-b6c7-afa6eb769d69,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,2,20b71f94-2bbf-4d86-91d5-c2347dc49c33,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,4,fee49705-761d-452d-9cc6-e5a4e5e7400b,blue,member
Xsd2.PickUpPiece,2017-06-02T11:50:13,0,5,8344fc9c-4196-4ee6-8c05-c73d242e8af8,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,8,2320fecd-46a9-4a06-9b9a-202ff8dc486a,blue,member
Xsd2.Move,2017-06-02T11:50:13,0,3,d932b0ff-86a5-46aa-890a-23f2283dfc12,blue,member
